Country,Pollution,Population Density,GDP per Capita,Literacy Rate,Food Insecurity,Travel (Arrival, Tourism),impact_metric
Afghanistan,46.0870936659706,62.2155405301811,415.707417059086,,80.9,,,48
Africa Eastern and Southern,26.7556863585895,49.2972007384894,1659.51529015376,73.2751083374023,,,,82
Africa Western and Central,54.8918200968729,54.9855916127898,1568.72431045118,60.5055503845215,,,,11
Albania,15.7070036417042,101.375510948905,8575.17113446213,,32.2,2658000.0,,50
Algeria,25.5526558310447,19.0941790060296,5364.02795022731,,18.9,591000.0,,14
American Samoa,6.71514739512663,241.71,,,,899.999976158142,,14
Andorra,9.08028059086901,169.585106382979,46812.4484486309,,,5207000.0,,50
Angola,25.1452381976267,28.5834835966953,2308.15976731274,,79.2,,,8
Antigua and Barbuda,19.6982695582914,211.0,21787.1017315914,,33.0,384500.0,,49
Arab World,39.7132146879837,35.9918336255039,7292.21040780618,76.1542587280273,,,,76
Argentina,14.9081737974407,16.5922716858687,14187.4827252965,,36.1,,,26
Armenia,30.5796334750125,104.292237442922,8053.01066312345,,7.8,375000.0,,99
Aruba,,596.166666666667,33984.7906198041,,,,,25
Australia,8.25171746070811,3.38199835673854,64820.9117890026,,12.9,1828000.0,,37
Austria,10.9335136815146,109.571631119729,56033.573792065,,4.9,15091000.0,,32
Azerbaijan,21.7269999756599,122.707271627344,7125.90858368611,100.0,12.2,796000.0,,29
